frame,repaint_interval_ms,cpu_frame_ms,triangles,vertices,draw_calls,set_pass_calls
0,10.142,8.816,25964456,15052304,2518,70
1,6.269,4.986,25964456,15052304,2518,70
2,7.978,9.387,25964456,15052304,2518,70
3,5.243,4.731,25964456,15052304,2518,70
4,8.486,11.250,25964456,15052304,2518,70
5,4.912,5.100,25964456,15052304,2518,70
6,8.442,7.682,25964456,15052304,2518,70
7,4.636,5.272,25964456,15052304,2518,70
8,9.748,8.387,25964456,15052304,2518,70
9,4.749,4.929,25964456,15052304,2518,70
10,9.237,8.650,25964456,15052304,2518,70
11,4.414,4.602,25964456,15052304,2518,70
12,9.321,9.583,25964456,15052304,2518,70
13,4.576,4.811,25964456,15052304,2518,70
14,8.204,9.141,25964456,15052304,2518,70
15,4.030,4.785,25964456,15052304,2518,70
16,9.607,8.924,25964456,15052304,2518,70
17,4.655,4.586,25964456,15052304,2518,70
18,8.219,8.209,25964456,15052304,2518,70
19,4.382,4.391,25964456,15052304,2518,70
20,9.902,9.255,25964456,15052304,2518,70
21,4.493,4.757,25964456,15052304,2518,70
22,8.546,8.277,25964456,15052304,2518,70
23,4.696,4.765,25964456,15052304,2518,70
24,8.633,9.378,25964456,15052304,2518,70
25,4.766,4.643,25964456,15052304,2518,70
26,8.446,8.553,25964456,15052304,2518,70
27,4.559,4.689,25964456,15052304,2518,70
28,8.298,8.571,25964456,15052304,2518,70
29,4.907,4.845,25964456,15052304,2518,70
30,8.714,8.477,25964456,15052304,2518,70
31,4.626,4.356,25964456,15052304,2518,70
32,8.628,8.496,25964456,15052304,2518,70
33,4.662,4.674,25964456,15052304,2518,70
34,8.535,8.882,25964456,15052304,2518,70
35,4.317,4.461,25964456,15052304,2518,70
36,9.406,8.680,25964456,15052304,2518,70
37,4.556,4.601,25964456,15052304,2518,70
38,8.878,8.580,25964456,15052304,2518,70
39,4.945,4.446,25964456,15052304,2518,70
40,8.431,9.257,25964456,15052304,2518,70
41,4.782,4.765,25964456,15052304,2518,70
42,8.094,8.790,25964456,15052304,2518,70
43,4.018,4.807,25964456,15052304,2518,70
44,9.886,8.512,25964456,15052304,2518,70
45,4.542,4.882,25964456,15052304,2518,70
46,8.548,7.958,25964456,15052304,2518,70
47,4.134,4.852,25964456,15052304,2518,70
48,10.270,9.117,25964456,15052304,2518,70
49,4.587,4.696,25964456,15052304,2518,70
50,8.171,8.401,25964456,15052304,2518,70
51,4.471,4.302,25964456,15052304,2518,70
52,8.854,10.060,25964456,15052304,2518,70
53,4.551,4.632,25964456,15052304,2518,70
54,8.229,8.331,25964456,15052304,2518,70
55,4.237,4.246,25964456,15052304,2518,70
56,9.698,8.906,25964456,15052304,2518,70
57,4.443,4.402,25964456,15052304,2518,70
58,7.956,8.348,25964456,15052304,2518,70
59,3.942,4.340,25964456,15052304,2518,70
60,10.103,9.668,25964456,15052304,2518,70
61,4.274,4.306,25964456,15052304,2518,70
62,9.236,7.922,25964456,15052304,2518,70
63,4.499,4.195,25964456,15052304,2518,70
64,9.147,9.816,25964456,15052304,2518,70
65,4.823,4.500,25964456,15052304,2518,70
66,7.989,9.096,25964456,15052304,2518,70
67,4.656,4.726,25964456,15052304,2518,70
68,9.513,8.923,25964456,15052304,2518,70
69,4.790,4.857,25964456,15052304,2518,70
70,8.109,8.017,25964456,15052304,2518,70
71,5.456,4.823,25964456,15052304,2518,70
72,9.038,9.383,25964456,15052304,2518,70
73,4.909,4.916,25964456,15052304,2518,70
74,7.521,7.845,25964456,15052304,2518,70
75,4.825,5.650,25964456,15052304,2518,70
76,8.317,8.899,25964456,15052304,2518,70
77,4.703,4.896,25964456,15052304,2518,70
78,8.060,7.747,25964456,15052304,2518,70
79,4.512,4.933,25964456,15052304,2518,70
