frame,repaint_interval_ms,cpu_frame_ms,triangles,vertices,draw_calls,set_pass_calls
0,8.151,8.048,33706610,18951253,729,24
1,6.924,6.961,33706610,18951253,729,24
2,7.684,7.748,33706610,18951253,729,24
3,7.675,6.603,33706610,18951253,729,24
4,6.607,9.772,33706610,18951253,729,24
5,8.096,5.323,33706610,18951253,729,24
6,8.509,7.775,33706610,18951253,729,24
7,6.051,7.482,33706610,18951253,729,24
8,7.483,6.604,33706610,18951253,729,24
9,7.226,8.102,33706610,18951253,729,24
10,8.120,9.061,33706610,18951253,729,24
11,7.041,5.427,33706610,18951253,729,24
12,7.222,7.365,33706610,18951253,729,24
13,7.792,7.480,33706610,18951253,729,24
14,7.598,8.354,33706610,18951253,729,24
15,6.539,6.802,33706610,18951253,729,24
16,7.056,7.184,33706610,18951253,729,24
17,7.177,7.631,33706610,18951253,729,24
18,7.368,8.445,33706610,18951253,729,24
19,6.672,5.758,33706610,18951253,729,24
20,7.119,7.239,33706610,18951253,729,24
21,6.959,7.170,33706610,18951253,729,24
22,7.266,7.169,33706610,18951253,729,24
23,7.377,6.640,33706610,18951253,729,24
24,6.317,7.094,33706610,18951253,729,24
25,7.453,6.962,33706610,18951253,729,24
26,6.779,7.242,33706610,18951253,729,24
27,7.485,7.330,33706610,18951253,729,24
28,6.768,6.552,33706610,18951253,729,24
29,6.753,7.227,33706610,18951253,729,24
30,7.417,6.765,33706610,18951253,729,24
31,7.059,7.506,33706610,18951253,729,24
32,7.142,6.804,33706610,18951253,729,24
33,6.671,6.779,33706610,18951253,729,24
34,7.525,7.355,33706610,18951253,729,24
35,7.012,7.183,33706610,18951253,729,24
36,6.820,7.052,33706610,18951253,729,24
37,6.708,6.691,33706610,18951253,729,24
38,8.561,7.587,33706610,18951253,729,24
39,7.102,6.985,33706610,18951253,729,24
40,6.346,6.732,33706610,18951253,729,24
41,6.701,6.700,33706610,18951253,729,24
42,6.991,8.673,33706610,18951253,729,24
43,8.248,7.137,33706610,18951253,729,24
44,5.619,6.248,33706610,18951253,729,24
45,7.039,6.671,33706610,18951253,729,24
46,7.384,7.044,33706610,18951253,729,24
47,7.212,8.243,33706610,18951253,729,24
48,6.769,5.593,33706610,18951253,729,24
49,6.940,7.031,33706610,18951253,729,24
50,7.562,7.426,33706610,18951253,729,24
51,7.112,7.288,33706610,18951253,729,24
52,6.491,6.693,33706610,18951253,729,24
53,7.326,6.882,33706610,18951253,729,24
54,7.601,7.623,33706610,18951253,729,24
55,6.562,7.107,33706610,18951253,729,24
56,7.601,6.410,33706610,18951253,729,24
57,5.899,7.403,33706610,18951253,729,24
58,7.792,7.890,33706610,18951253,729,24
59,6.864,6.875,33706610,18951253,729,24
60,7.159,7.344,33706610,18951253,729,24
61,6.557,5.480,33706610,18951253,729,24
62,7.136,8.013,33706610,18951253,729,24
63,6.529,6.963,33706610,18951253,729,24
64,7.317,7.086,33706610,18951253,729,24
65,6.828,6.401,33706610,18951253,729,24
66,7.810,7.155,33706610,18951253,729,24
67,6.370,6.399,33706610,18951253,729,24
68,7.133,7.693,33706610,18951253,729,24
69,6.609,6.604,33706610,18951253,729,24
70,7.838,8.125,33706610,18951253,729,24
71,7.079,6.166,33706610,18951253,729,24
72,6.208,7.130,33706610,18951253,729,24
73,7.484,6.814,33706610,18951253,729,24
74,7.423,7.651,33706610,18951253,729,24
75,6.940,7.057,33706610,18951253,729,24
76,6.991,6.173,33706610,18951253,729,24
77,7.301,7.429,33706610,18951253,729,24
78,7.177,7.348,33706610,18951253,729,24
79,6.598,6.945,33706610,18951253,729,24
