hierarchy,active,mesh_asset,triangles,colliders,cast_shadows,material_assets,instancing,lod_group,instance_id,bounds_center_x,bounds_center_y,bounds_center_z
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 002/LOD0,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD0.asset,12000,0,On,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589213521340,-3.63632083,2.12868357,11.8878765
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 002/LOD1,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD1.asset,3499,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589213521332,-3.63672447,2.11307955,11.8881254
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 002/LOD2,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD2.asset,1200,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589213521324,-3.65209842,2.09841943,11.9021406
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 006/LOD0,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD0.asset,12000,0,On,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589213521310,-3.439276,2.12868357,8.319099
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 006/LOD1,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD1.asset,3499,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589213521302,-3.43893886,2.11307955,8.318767
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 006/LOD2,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD2.asset,1200,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589213521294,-3.42711163,2.09841943,8.301652
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 007/LOD0,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD0.asset,12000,0,On,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589213521280,32.0375252,2.12868357,10.64644
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 007/LOD1,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD1.asset,3499,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589213521272,32.0379944,2.11307955,10.6463842
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 007/LOD2,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD2.asset,1200,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589213521264,32.0578537,2.09841943,10.6401806
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 008/LOD0,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD0.asset,12000,0,On,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589213521250,-4.60274839,2.12868357,5.79949045
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 008/LOD1,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD1.asset,3499,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589213521242,-4.60259628,2.11307955,5.79993963
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 008/LOD2,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD2.asset,1200,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589213521234,-4.592399,2.09841943,5.81807232
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 010/LOD0,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD0.asset,12000,0,On,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589213521220,-3.44965148,2.11858654,10.5188017
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 010/LOD1,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD1.asset,3499,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589213521212,-3.44926167,2.10305667,10.5190678
