frame,repaint_interval_ms,stats_frame_ms,triangles,vertices,draw_calls,set_pass_calls
0,7.028,0.000,0,0,0,0
1,6.895,0.000,0,0,0,0
2,8.297,0.000,0,0,0,0
3,7.756,0.000,0,0,0,0
4,7.177,0.000,0,0,0,0
5,7.140,0.000,0,0,0,0
6,7.573,0.000,0,0,0,0
7,7.788,0.000,0,0,0,0
8,6.463,0.000,0,0,0,0
9,6.994,0.000,0,0,0,0
10,8.363,0.000,0,0,0,0
11,7.547,0.000,0,0,0,0
12,7.408,0.000,0,0,0,0
13,6.794,0.000,0,0,0,0
14,7.974,0.000,0,0,0,0
15,8.073,0.000,0,0,0,0
16,6.320,0.000,0,0,0,0
17,7.466,0.000,0,0,0,0
18,6.799,0.000,0,0,0,0
19,6.932,0.000,0,0,0,0
20,6.638,0.000,0,0,0,0
21,7.106,0.000,0,0,0,0
22,6.888,0.000,0,0,0,0
23,7.470,0.000,0,0,0,0
24,7.002,0.000,0,0,0,0
25,6.892,0.000,0,0,0,0
26,7.094,0.000,0,0,0,0
27,7.426,0.000,0,0,0,0
28,7.053,0.000,0,0,0,0
29,7.135,0.000,0,0,0,0
30,6.996,0.000,0,0,0,0
31,6.759,0.000,0,0,0,0
32,6.521,0.000,0,0,0,0
33,7.006,0.000,0,0,0,0
34,7.342,0.000,0,0,0,0
35,7.599,0.000,0,0,0,0
36,6.808,0.000,0,0,0,0
37,7.261,0.000,0,0,0,0
38,6.999,0.000,0,0,0,0
39,6.905,0.000,0,0,0,0
40,6.876,0.000,0,0,0,0
41,6.936,0.000,0,0,0,0
42,7.338,0.000,0,0,0,0
43,6.500,0.000,0,0,0,0
44,6.901,0.000,0,0,0,0
45,7.076,0.000,0,0,0,0
46,7.469,0.000,0,0,0,0
47,7.189,0.000,0,0,0,0
48,6.695,0.000,0,0,0,0
49,6.797,0.000,0,0,0,0
50,7.711,0.000,0,0,0,0
51,7.283,0.000,0,0,0,0
52,6.918,0.000,0,0,0,0
53,6.763,0.000,0,0,0,0
54,6.948,0.000,0,0,0,0
55,6.748,0.000,0,0,0,0
56,6.747,0.000,0,0,0,0
57,6.748,0.000,0,0,0,0
58,7.506,0.000,0,0,0,0
59,7.458,0.000,0,0,0,0
60,6.422,0.000,0,0,0,0
61,7.256,0.000,0,0,0,0
62,7.520,0.000,0,0,0,0
63,6.889,0.000,0,0,0,0
64,6.985,0.000,0,0,0,0
65,6.907,0.000,0,0,0,0
66,7.311,0.000,0,0,0,0
67,7.030,0.000,0,0,0,0
68,6.924,0.000,0,0,0,0
69,6.672,0.000,0,0,0,0
70,7.206,0.000,0,0,0,0
71,7.555,0.000,0,0,0,0
72,6.850,0.000,0,0,0,0
73,6.159,0.000,0,0,0,0
74,7.735,0.000,0,0,0,0
75,7.181,0.000,0,0,0,0
76,6.323,0.000,0,0,0,0
77,6.928,0.000,0,0,0,0
78,7.787,0.000,0,0,0,0
79,5.893,0.000,0,0,0,0
