hierarchy,active,mesh_asset,triangles,colliders,cast_shadows,material_assets,instancing,lod_group,instance_id,bounds_center_x,bounds_center_y,bounds_center_z
Coast preview — generated  Play starts campaign/Coast environment/User_pine/User_pine(Clone)/Visual,True,Assets/GameArt/pine_tree/pine_tree.fbx,1946099,0,On,Assets/GameArt/_GeneratedMaterials/pine_tree/pine_tree_URP.mat,true,False,568105589213544776,-9.654272,1.93497455,25.0849266
Coast preview — generated  Play starts campaign/Coast environment/User_pine/User_pine(Clone)/Visual,True,Assets/GameArt/pine_tree/pine_tree.fbx,1946099,0,On,Assets/GameArt/_GeneratedMaterials/pine_tree/pine_tree_URP.mat,true,False,568105589213544760,35.06564,1.98121965,26.067091
Coast preview — generated  Play starts campaign/Coast environment/User_pine/User_pine(Clone)/Visual,True,Assets/GameArt/pine_tree/pine_tree.fbx,1946099,0,On,Assets/GameArt/_GeneratedMaterials/pine_tree/pine_tree_URP.mat,true,False,568105589213544744,-3.63662744,2.13687,11.8878059
Coast preview — generated  Play starts campaign/Coast environment/User_pine/User_pine(Clone)/Visual,True,Assets/GameArt/pine_tree/pine_tree.fbx,1946099,0,On,Assets/GameArt/_GeneratedMaterials/pine_tree/pine_tree_URP.mat,true,False,568105589213544728,31.89794,2.13687,21.5860882
Coast preview — generated  Play starts campaign/Coast environment/User_pine/User_pine(Clone)/Visual,True,Assets/GameArt/pine_tree/pine_tree.fbx,1946099,0,On,Assets/GameArt/_GeneratedMaterials/pine_tree/pine_tree_URP.mat,true,False,568105589213544712,-8.464737,2.13687,15.2601748
Coast preview — generated  Play starts campaign/Coast environment/User_pine/User_pine(Clone)/Visual,True,Assets/GameArt/pine_tree/pine_tree.fbx,1946099,0,On,Assets/GameArt/_GeneratedMaterials/pine_tree/pine_tree_URP.mat,true,False,568105589213544696,31.9757614,2.13687,26.6187115
Coast preview — generated  Play starts campaign/Coast environment/User_pine/User_pine(Clone)/Visual,True,Assets/GameArt/pine_tree/pine_tree.fbx,1946099,0,On,Assets/GameArt/_GeneratedMaterials/pine_tree/pine_tree_URP.mat,true,False,568105589213544680,-3.43896151,2.13687,8.319099
Coast preview — generated  Play starts campaign/Coast environment/User_pine/User_pine(Clone)/Visual,True,Assets/GameArt/pine_tree/pine_tree.fbx,1946099,0,On,Assets/GameArt/_GeneratedMaterials/pine_tree/pine_tree_URP.mat,true,False,568105589213544664,32.0377731,2.13687,10.6466331
Coast preview — generated  Play starts campaign/Coast environment/User_pine/User_pine(Clone)/Visual,True,Assets/GameArt/pine_tree/pine_tree.fbx,1946099,0,On,Assets/GameArt/_GeneratedMaterials/pine_tree/pine_tree_URP.mat,true,False,568105589213544648,-4.60288572,2.13687,5.799773
Coast preview — generated  Play starts campaign/Coast environment/User_pine/User_pine(Clone)/Visual,True,Assets/GameArt/pine_tree/pine_tree.fbx,1946099,0,On,Assets/GameArt/_GeneratedMaterials/pine_tree/pine_tree_URP.mat,true,False,568105589213544632,38.4838562,2.13687,11.5956774
