frame,repaint_interval_ms,stats_frame_ms,triangles,vertices,draw_calls,set_pass_calls
0,87.887,0.000,0,0,0,0
1,90.316,0.000,0,0,0,0
2,89.526,0.000,0,0,0,0
3,94.340,0.000,0,0,0,0
4,87.595,0.000,0,0,0,0
5,89.974,0.000,0,0,0,0
6,94.437,0.000,0,0,0,0
7,89.714,0.000,0,0,0,0
8,89.926,0.000,0,0,0,0
9,87.988,0.000,0,0,0,0
10,94.719,0.000,0,0,0,0
11,89.298,0.000,0,0,0,0
12,88.975,0.000,0,0,0,0
13,89.049,0.000,0,0,0,0
14,94.352,0.000,0,0,0,0
15,93.563,0.000,0,0,0,0
16,88.239,0.000,0,0,0,0
17,90.099,0.000,0,0,0,0
18,93.861,0.000,0,0,0,0
19,89.977,0.000,0,0,0,0
20,90.389,0.000,0,0,0,0
21,87.836,0.000,0,0,0,0
22,93.824,0.000,0,0,0,0
23,89.740,0.000,0,0,0,0
24,90.237,0.000,0,0,0,0
25,89.945,0.000,0,0,0,0
26,92.247,0.000,0,0,0,0
27,93.551,0.000,0,0,0,0
28,87.364,0.000,0,0,0,0
29,90.088,0.000,0,0,0,0
30,94.956,0.000,0,0,0,0
31,89.984,0.000,0,0,0,0
32,89.997,0.000,0,0,0,0
33,87.580,0.000,0,0,0,0
34,93.871,0.000,0,0,0,0
35,90.239,0.000,0,0,0,0
36,88.080,0.000,0,0,0,0
37,89.990,0.000,0,0,0,0
38,91.080,0.000,0,0,0,0
39,90.260,0.000,0,0,0,0
40,87.392,0.000,0,0,0,0
41,89.997,0.000,0,0,0,0
42,94.847,0.000,0,0,0,0
43,89.358,0.000,0,0,0,0
44,90.392,0.000,0,0,0,0
45,90.020,0.000,0,0,0,0
46,93.623,0.000,0,0,0,0
47,90.390,0.000,0,0,0,0
48,89.882,0.000,0,0,0,0
49,90.256,0.000,0,0,0,0
50,90.472,0.000,0,0,0,0
51,93.707,0.000,0,0,0,0
52,87.774,0.000,0,0,0,0
53,89.779,0.000,0,0,0,0
54,95.130,0.000,0,0,0,0
55,90.356,0.000,0,0,0,0
56,91.195,0.000,0,0,0,0
57,90.418,0.000,0,0,0,0
58,91.118,0.000,0,0,0,0
59,90.786,0.000,0,0,0,0
60,88.699,0.000,0,0,0,0
61,90.165,0.000,0,0,0,0
62,94.591,0.000,0,0,0,0
63,90.853,0.000,0,0,0,0
64,90.485,0.000,0,0,0,0
65,90.225,0.000,0,0,0,0
66,94.950,0.000,0,0,0,0
67,90.907,0.000,0,0,0,0
68,90.669,0.000,0,0,0,0
69,87.926,0.000,0,0,0,0
70,94.468,0.000,0,0,0,0
71,90.453,0.000,0,0,0,0
72,90.929,0.000,0,0,0,0
73,90.118,0.000,0,0,0,0
74,92.072,0.000,0,0,0,0
75,94.608,0.000,0,0,0,0
76,88.118,0.000,0,0,0,0
77,90.768,0.000,0,0,0,0
78,94.463,0.000,0,0,0,0
79,91.029,0.000,0,0,0,0
