frame,repaint_interval_ms,cpu_frame_ms,triangles,vertices,draw_calls,set_pass_calls
0,5.589,3.668,27881405,15393198,1417,17
1,5.686,4.854,27881405,15393198,1417,17
2,4.982,4.946,27881405,15393198,1417,17
3,6.077,5.272,27881405,15393198,1417,17
4,4.975,7.214,27881405,15393198,1417,17
5,5.438,3.944,27881405,15393198,1417,17
6,5.081,5.073,27881405,15393198,1417,17
7,5.379,6.233,27881405,15393198,1417,17
8,5.843,4.816,27881405,15393198,1417,17
9,4.948,5.427,27881405,15393198,1417,17
10,5.189,5.010,27881405,15393198,1417,17
11,5.800,5.330,27881405,15393198,1417,17
12,6.384,6.205,27881405,15393198,1417,17
13,4.079,4.684,27881405,15393198,1417,17
14,5.324,5.079,27881405,15393198,1417,17
15,5.554,6.063,27881405,15393198,1417,17
16,6.079,6.332,27881405,15393198,1417,17
17,5.014,4.039,27881405,15393198,1417,17
18,4.598,5.315,27881405,15393198,1417,17
19,5.765,5.373,27881405,15393198,1417,17
20,6.886,6.234,27881405,15393198,1417,17
21,4.296,4.977,27881405,15393198,1417,17
22,4.618,4.553,27881405,15393198,1417,17
23,5.529,5.728,27881405,15393198,1417,17
24,6.326,7.067,27881405,15393198,1417,17
25,14.062,4.198,27881405,15393198,1417,17
26,9.233,4.631,27881405,15393198,1417,17
27,7.948,5.448,27881405,15393198,1417,17
28,6.715,6.870,27881405,15393198,1417,17
29,4.984,13.899,27881405,15393198,1417,17
30,6.247,9.463,27881405,15393198,1417,17
31,5.867,9.051,27881405,15393198,1417,17
32,6.861,5.451,27881405,15393198,1417,17
33,5.908,5.053,27881405,15393198,1417,17
34,5.760,6.210,27881405,15393198,1417,17
35,5.423,6.085,27881405,15393198,1417,17
36,8.190,6.853,27881405,15393198,1417,17
37,4.709,5.941,27881405,15393198,1417,17
38,4.954,5.603,27881405,15393198,1417,17
39,5.034,5.481,27881405,15393198,1417,17
40,8.786,8.021,27881405,15393198,1417,17
41,9.038,4.577,27881405,15393198,1417,17
42,5.457,4.722,27881405,15393198,1417,17
43,4.074,5.907,27881405,15393198,1417,17
44,4.283,9.298,27881405,15393198,1417,17
45,5.183,8.588,27881405,15393198,1417,17
46,4.328,4.469,27881405,15393198,1417,17
47,4.448,4.125,27881405,15393198,1417,17
48,4.576,4.375,27881405,15393198,1417,17
49,4.596,5.177,27881405,15393198,1417,17
50,4.198,4.359,27881405,15393198,1417,17
51,5.055,4.553,27881405,15393198,1417,17
52,4.623,4.428,27881405,15393198,1417,17
53,4.454,4.669,27881405,15393198,1417,17
54,5.015,4.359,27881405,15393198,1417,17
55,5.065,5.116,27881405,15393198,1417,17
56,4.297,4.422,27881405,15393198,1417,17
57,4.567,4.358,27881405,15393198,1417,17
58,3.786,5.341,27881405,15393198,1417,17
59,4.070,4.775,27881405,15393198,1417,17
60,4.466,4.156,27881405,15393198,1417,17
61,5.314,4.590,27881405,15393198,1417,17
62,4.405,4.071,27881405,15393198,1417,17
63,5.034,3.890,27881405,15393198,1417,17
64,5.909,4.486,27881405,15393198,1417,17
65,4.974,5.460,27881405,15393198,1417,17
66,4.757,4.166,27881405,15393198,1417,17
67,4.952,5.427,27881405,15393198,1417,17
68,5.615,5.520,27881405,15393198,1417,17
69,4.768,5.106,27881405,15393198,1417,17
70,5.647,4.528,27881405,15393198,1417,17
71,4.553,5.106,27881405,15393198,1417,17
72,5.830,5.511,27881405,15393198,1417,17
73,4.913,4.689,27881405,15393198,1417,17
74,5.038,5.690,27881405,15393198,1417,17
75,4.864,4.689,27881405,15393198,1417,17
76,5.513,5.691,27881405,15393198,1417,17
77,5.181,4.860,27881405,15393198,1417,17
78,4.807,5.122,27881405,15393198,1417,17
79,4.833,4.971,27881405,15393198,1417,17
