frame,repaint_interval_ms,cpu_frame_ms,triangles,vertices,draw_calls,set_pass_calls
0,5.558,6.224,59316729,32500691,1603,45
1,7.223,7.339,59316729,32500691,1603,45
2,5.844,5.859,59316729,32500691,1603,45
3,6.220,6.878,59316729,32500691,1603,45
4,6.836,7.199,59316729,32500691,1603,45
5,6.369,5.701,59316729,32500691,1603,45
6,6.746,5.757,59316729,32500691,1603,45
7,5.747,6.451,59316729,32500691,1603,45
8,6.514,6.711,59316729,32500691,1603,45
9,6.754,6.618,59316729,32500691,1603,45
10,7.089,6.469,59316729,32500691,1603,45
11,5.937,5.770,59316729,32500691,1603,45
12,6.629,6.424,59316729,32500691,1603,45
13,6.852,6.679,59316729,32500691,1603,45
14,6.547,7.125,59316729,32500691,1603,45
15,5.959,5.912,59316729,32500691,1603,45
16,6.950,6.996,59316729,32500691,1603,45
17,6.070,6.487,59316729,32500691,1603,45
18,5.423,6.598,59316729,32500691,1603,45
19,5.734,5.911,59316729,32500691,1603,45
20,6.337,6.955,59316729,32500691,1603,45
21,6.421,6.047,59316729,32500691,1603,45
22,6.233,5.678,59316729,32500691,1603,45
23,6.614,5.606,59316729,32500691,1603,45
24,5.846,6.165,59316729,32500691,1603,45
25,6.589,6.442,59316729,32500691,1603,45
26,5.075,6.307,59316729,32500691,1603,45
27,5.987,6.571,59316729,32500691,1603,45
28,6.297,5.848,59316729,32500691,1603,45
29,6.333,6.625,59316729,32500691,1603,45
30,6.347,5.114,59316729,32500691,1603,45
31,5.813,5.984,59316729,32500691,1603,45
32,6.290,6.256,59316729,32500691,1603,45
33,6.686,6.270,59316729,32500691,1603,45
34,5.449,6.349,59316729,32500691,1603,45
35,6.050,5.812,59316729,32500691,1603,45
36,5.742,6.328,59316729,32500691,1603,45
37,6.650,6.686,59316729,32500691,1603,45
38,5.851,5.538,59316729,32500691,1603,45
39,6.559,5.996,59316729,32500691,1603,45
40,5.826,5.757,59316729,32500691,1603,45
41,6.537,6.559,59316729,32500691,1603,45
42,5.840,5.834,59316729,32500691,1603,45
43,5.883,6.580,59316729,32500691,1603,45
44,5.750,6.043,59316729,32500691,1603,45
45,6.683,6.319,59316729,32500691,1603,45
46,6.230,5.980,59316729,32500691,1603,45
47,6.050,5.915,59316729,32500691,1603,45
48,5.947,5.689,59316729,32500691,1603,45
49,8.732,6.602,59316729,32500691,1603,45
50,4.471,6.173,59316729,32500691,1603,45
51,5.159,6.069,59316729,32500691,1603,45
52,5.830,5.944,59316729,32500691,1603,45
53,6.606,9.092,59316729,32500691,1603,45
54,6.198,4.198,59316729,32500691,1603,45
55,6.122,5.133,59316729,32500691,1603,45
56,6.420,5.899,59316729,32500691,1603,45
57,6.844,6.608,59316729,32500691,1603,45
58,5.185,6.319,59316729,32500691,1603,45
59,5.849,5.915,59316729,32500691,1603,45
60,6.161,6.396,59316729,32500691,1603,45
61,6.971,6.882,59316729,32500691,1603,45
62,5.499,5.230,59316729,32500691,1603,45
63,6.156,5.896,59316729,32500691,1603,45
64,6.654,6.135,59316729,32500691,1603,45
65,6.261,6.973,59316729,32500691,1603,45
66,6.594,5.425,59316729,32500691,1603,45
67,5.708,6.169,59316729,32500691,1603,45
68,5.856,6.672,59316729,32500691,1603,45
69,6.157,6.212,59316729,32500691,1603,45
70,6.199,6.626,59316729,32500691,1603,45
71,5.585,5.834,59316729,32500691,1603,45
72,7.046,5.844,59316729,32500691,1603,45
73,6.499,6.135,59316729,32500691,1603,45
74,6.047,6.190,59316729,32500691,1603,45
75,5.385,5.421,59316729,32500691,1603,45
76,6.003,7.258,59316729,32500691,1603,45
77,6.795,6.366,59316729,32500691,1603,45
78,5.680,6.021,59316729,32500691,1603,45
79,6.023,5.494,59316729,32500691,1603,45
