frame,repaint_interval_ms,cpu_frame_ms,triangles,vertices,draw_calls,set_pass_calls
0,7.327,7.693,31734616,17889304,725,21
1,7.196,7.336,31734616,17889304,725,21
2,7.590,6.879,31734616,17889304,725,21
3,6.990,6.002,31734616,17889304,725,21
4,6.665,8.997,31734616,17889304,725,21
5,7.124,5.627,31734616,17889304,725,21
6,6.926,7.672,31734616,17889304,725,21
7,6.719,6.737,31734616,17889304,725,21
8,6.480,6.835,31734616,17889304,725,21
9,8.147,7.043,31734616,17889304,725,21
10,6.255,7.305,31734616,17889304,725,21
11,6.750,6.482,31734616,17889304,725,21
12,7.310,6.212,31734616,17889304,725,21
13,7.517,8.125,31734616,17889304,725,21
14,7.565,6.428,31734616,17889304,725,21
15,6.592,6.474,31734616,17889304,725,21
16,6.153,7.506,31734616,17889304,725,21
17,7.026,7.639,31734616,17889304,725,21
18,6.303,7.802,31734616,17889304,725,21
19,6.628,6.094,31734616,17889304,725,21
20,6.656,6.672,31734616,17889304,725,21
21,7.413,6.490,31734616,17889304,725,21
22,7.386,6.596,31734616,17889304,725,21
23,7.238,6.467,31734616,17889304,725,21
24,5.205,7.032,31734616,17889304,725,21
25,6.677,7.743,31734616,17889304,725,21
26,6.027,7.791,31734616,17889304,725,21
27,6.261,6.322,31734616,17889304,725,21
28,6.999,5.266,31734616,17889304,725,21
29,6.977,6.384,31734616,17889304,725,21
30,6.475,6.508,31734616,17889304,725,21
31,6.578,5.753,31734616,17889304,725,21
32,6.323,7.047,31734616,17889304,725,21
33,6.669,6.913,31734616,17889304,725,21
34,6.587,6.490,31734616,17889304,725,21
35,6.523,6.512,31734616,17889304,725,21
36,6.819,6.568,31734616,17889304,725,21
37,7.543,6.487,31734616,17889304,725,21
38,5.887,6.701,31734616,17889304,725,21
39,6.622,6.478,31734616,17889304,725,21
40,6.432,6.640,31734616,17889304,725,21
41,7.399,7.670,31734616,17889304,725,21
42,6.128,5.931,31734616,17889304,725,21
43,6.171,6.765,31734616,17889304,725,21
44,6.218,6.302,31734616,17889304,725,21
45,7.460,7.453,31734616,17889304,725,21
46,5.922,6.052,31734616,17889304,725,21
47,6.984,6.182,31734616,17889304,725,21
48,6.747,6.249,31734616,17889304,725,21
49,7.226,7.411,31734616,17889304,725,21
50,6.315,5.984,31734616,17889304,725,21
51,6.677,6.920,31734616,17889304,725,21
52,6.531,6.783,31734616,17889304,725,21
53,7.296,7.193,31734616,17889304,725,21
54,6.465,6.430,31734616,17889304,725,21
55,6.214,6.505,31734616,17889304,725,21
56,6.895,6.499,31734616,17889304,725,21
57,6.899,7.436,31734616,17889304,725,21
58,6.538,6.393,31734616,17889304,725,21
59,6.906,6.120,31734616,17889304,725,21
60,6.722,7.189,31734616,17889304,725,21
61,6.631,6.584,31734616,17889304,725,21
62,6.484,6.592,31734616,17889304,725,21
63,7.008,6.894,31734616,17889304,725,21
64,6.036,6.848,31734616,17889304,725,21
65,7.543,6.563,31734616,17889304,725,21
66,6.778,6.749,31734616,17889304,725,21
67,7.848,6.935,31734616,17889304,725,21
68,4.789,5.821,31734616,17889304,725,21
69,6.572,7.870,31734616,17889304,725,21
70,6.864,6.787,31734616,17889304,725,21
71,6.257,7.677,31734616,17889304,725,21
72,6.788,4.791,31734616,17889304,725,21
73,7.714,6.460,31734616,17889304,725,21
74,6.006,6.821,31734616,17889304,725,21
75,6.464,6.418,31734616,17889304,725,21
76,6.932,6.729,31734616,17889304,725,21
77,6.798,7.645,31734616,17889304,725,21
78,6.564,6.175,31734616,17889304,725,21
79,6.850,6.708,31734616,17889304,725,21
