frame,repaint_interval_ms,cpu_frame_ms,triangles,vertices,draw_calls,set_pass_calls
0,5.962,7.064,15915286,9027570,580,14
1,7.093,5.944,15915286,9027570,580,14
2,5.086,6.210,15915286,9027570,580,14
3,8.119,7.753,15915286,9027570,580,14
4,6.676,7.875,15915286,9027570,580,14
5,5.130,5.085,15915286,9027570,580,14
6,6.019,5.272,15915286,9027570,580,14
7,7.530,8.082,15915286,9027570,580,14
8,6.607,6.716,15915286,9027570,580,14
9,6.114,4.730,15915286,9027570,580,14
10,6.354,6.128,15915286,9027570,580,14
11,6.852,7.605,15915286,9027570,580,14
12,6.661,6.593,15915286,9027570,580,14
13,6.202,6.019,15915286,9027570,580,14
14,6.261,6.223,15915286,9027570,580,14
15,6.688,7.091,15915286,9027570,580,14
16,5.367,6.886,15915286,9027570,580,14
17,6.009,5.978,15915286,9027570,580,14
18,5.605,6.040,15915286,9027570,580,14
19,6.796,6.748,15915286,9027570,580,14
20,6.258,5.569,15915286,9027570,580,14
21,6.122,5.820,15915286,9027570,580,14
22,6.393,5.498,15915286,9027570,580,14
23,5.753,7.254,15915286,9027570,580,14
24,6.261,6.135,15915286,9027570,580,14
25,5.708,5.797,15915286,9027570,580,14
26,6.106,6.416,15915286,9027570,580,14
27,7.058,5.882,15915286,9027570,580,14
28,5.595,6.424,15915286,9027570,580,14
29,6.453,5.527,15915286,9027570,580,14
30,5.895,6.142,15915286,9027570,580,14
31,6.668,7.020,15915286,9027570,580,14
32,5.334,5.420,15915286,9027570,580,14
33,6.246,6.656,15915286,9027570,580,14
34,6.598,5.762,15915286,9027570,580,14
35,5.847,6.696,15915286,9027570,580,14
36,5.720,5.704,15915286,9027570,580,14
37,6.051,6.462,15915286,9027570,580,14
38,6.610,6.227,15915286,9027570,580,14
39,6.531,5.811,15915286,9027570,580,14
40,7.678,5.737,15915286,9027570,580,14
41,4.811,5.736,15915286,9027570,580,14
42,5.003,6.732,15915286,9027570,580,14
43,6.384,6.581,15915286,9027570,580,14
44,6.441,7.808,15915286,9027570,580,14
45,6.169,4.644,15915286,9027570,580,14
46,5.800,5.027,15915286,9027570,580,14
47,7.250,6.506,15915286,9027570,580,14
48,5.071,6.433,15915286,9027570,580,14
49,6.432,6.431,15915286,9027570,580,14
50,5.475,5.454,15915286,9027570,580,14
51,7.417,7.198,15915286,9027570,580,14
52,5.947,5.017,15915286,9027570,580,14
53,5.368,6.541,15915286,9027570,580,14
54,6.836,5.420,15915286,9027570,580,14
55,6.079,7.591,15915286,9027570,580,14
56,6.040,5.978,15915286,9027570,580,14
57,6.123,5.258,15915286,9027570,580,14
58,5.694,7.006,15915286,9027570,580,14
59,6.682,5.920,15915286,9027570,580,14
60,6.062,5.886,15915286,9027570,580,14
61,5.783,6.235,15915286,9027570,580,14
62,6.605,5.601,15915286,9027570,580,14
63,6.135,6.830,15915286,9027570,580,14
64,6.440,6.102,15915286,9027570,580,14
65,6.530,5.736,15915286,9027570,580,14
66,5.686,6.462,15915286,9027570,580,14
67,7.655,6.131,15915286,9027570,580,14
68,5.665,6.341,15915286,9027570,580,14
69,5.201,7.012,15915286,9027570,580,14
70,5.727,5.606,15915286,9027570,580,14
71,6.778,7.900,15915286,9027570,580,14
72,6.245,5.463,15915286,9027570,580,14
73,6.011,5.176,15915286,9027570,580,14
74,6.169,5.780,15915286,9027570,580,14
75,5.797,6.991,15915286,9027570,580,14
76,5.731,6.234,15915286,9027570,580,14
77,6.500,5.552,15915286,9027570,580,14
78,7.361,6.168,15915286,9027570,580,14
79,4.833,5.696,15915286,9027570,580,14
