frame,repaint_interval_ms,cpu_frame_ms,triangles,vertices,draw_calls,set_pass_calls
0,6.413,6.197,17821910,10497608,576,13
1,7.172,5.257,17821910,10497608,576,13
2,6.559,6.283,17821910,10497608,576,13
3,7.327,7.464,17821910,10497608,576,13
4,6.677,7.978,17821910,10497608,576,13
5,7.235,5.739,17821910,10497608,576,13
6,6.479,6.422,17821910,10497608,576,13
7,7.740,7.355,17821910,10497608,576,13
8,7.584,6.698,17821910,10497608,576,13
9,5.974,7.225,17821910,10497608,576,13
10,7.373,6.442,17821910,10497608,576,13
11,8.004,7.781,17821910,10497608,576,13
12,6.741,7.471,17821910,10497608,576,13
13,6.313,6.107,17821910,10497608,576,13
14,6.888,7.620,17821910,10497608,576,13
15,6.662,7.781,17821910,10497608,576,13
16,6.078,6.630,17821910,10497608,576,13
17,7.188,6.788,17821910,10497608,576,13
18,6.016,6.411,17821910,10497608,576,13
19,7.007,6.928,17821910,10497608,576,13
20,7.573,5.821,17821910,10497608,576,13
21,5.785,7.449,17821910,10497608,576,13
22,6.727,5.849,17821910,10497608,576,13
23,7.076,7.177,17821910,10497608,576,13
24,6.478,7.381,17821910,10497608,576,13
25,6.369,5.922,17821910,10497608,576,13
26,7.202,6.858,17821910,10497608,576,13
27,6.684,6.857,17821910,10497608,576,13
28,7.651,6.902,17821910,10497608,576,13
29,5.388,5.845,17821910,10497608,576,13
30,6.765,7.398,17821910,10497608,576,13
31,7.095,6.628,17821910,10497608,576,13
32,7.400,7.731,17821910,10497608,576,13
33,6.000,5.295,17821910,10497608,576,13
34,6.139,6.593,17821910,10497608,576,13
35,7.186,7.112,17821910,10497608,576,13
36,6.317,7.487,17821910,10497608,576,13
37,6.711,5.887,17821910,10497608,576,13
38,6.504,6.134,17821910,10497608,576,13
39,7.571,7.282,17821910,10497608,576,13
40,6.513,6.223,17821910,10497608,576,13
41,5.925,6.712,17821910,10497608,576,13
42,6.793,6.846,17821910,10497608,576,13
43,6.838,7.381,17821910,10497608,576,13
44,7.753,6.409,17821910,10497608,576,13
45,6.050,5.985,17821910,10497608,576,13
46,6.810,6.771,17821910,10497608,576,13
47,6.564,6.882,17821910,10497608,576,13
48,6.332,7.819,17821910,10497608,576,13
49,6.755,5.964,17821910,10497608,576,13
50,6.221,7.003,17821910,10497608,576,13
51,7.266,6.423,17821910,10497608,576,13
52,7.282,6.344,17821910,10497608,576,13
53,6.368,6.835,17821910,10497608,576,13
54,6.376,5.963,17821910,10497608,576,13
55,7.167,7.301,17821910,10497608,576,13
56,7.039,7.432,17821910,10497608,576,13
57,6.795,6.202,17821910,10497608,576,13
58,6.045,6.651,17821910,10497608,576,13
59,7.699,6.960,17821910,10497608,576,13
60,6.089,7.018,17821910,10497608,576,13
61,6.628,6.768,17821910,10497608,576,13
62,6.997,6.020,17821910,10497608,576,13
63,7.606,7.748,17821910,10497608,576,13
64,5.869,6.060,17821910,10497608,576,13
65,6.222,7.355,17821910,10497608,576,13
66,7.129,6.898,17821910,10497608,576,13
67,6.726,7.245,17821910,10497608,576,13
68,6.745,5.961,17821910,10497608,576,13
69,6.470,6.041,17821910,10497608,576,13
70,6.769,7.008,17821910,10497608,576,13
71,7.100,6.767,17821910,10497608,576,13
72,7.416,6.767,17821910,10497608,576,13
73,5.736,6.521,17821910,10497608,576,13
74,6.735,6.816,17821910,10497608,576,13
75,7.204,7.222,17821910,10497608,576,13
76,6.675,7.662,17821910,10497608,576,13
77,6.124,5.225,17821910,10497608,576,13
78,6.542,6.846,17821910,10497608,576,13
79,7.063,7.180,17821910,10497608,576,13
