frame,repaint_interval_ms,cpu_frame_ms,triangles,vertices,draw_calls,set_pass_calls
0,7.729,5.732,26220198,15256003,1442,21
1,6.786,5.916,26220198,15256003,1442,21
2,6.267,4.526,26220198,15256003,1442,21
3,7.624,4.830,26220198,15256003,1442,21
4,7.326,7.770,26220198,15256003,1442,21
5,6.751,6.736,26220198,15256003,1442,21
6,6.472,6.308,26220198,15256003,1442,21
7,7.699,7.530,26220198,15256003,1442,21
8,6.695,7.695,26220198,15256003,1442,21
9,6.768,6.418,26220198,15256003,1442,21
10,7.256,6.534,26220198,15256003,1442,21
11,15.171,7.803,26220198,15256003,1442,21
12,5.093,6.564,26220198,15256003,1442,21
13,4.631,6.680,26220198,15256003,1442,21
14,4.132,7.327,26220198,15256003,1442,21
15,5.621,15.586,26220198,15256003,1442,21
16,6.595,4.961,26220198,15256003,1442,21
17,6.662,4.578,26220198,15256003,1442,21
18,6.020,3.877,26220198,15256003,1442,21
19,7.576,5.599,26220198,15256003,1442,21
20,6.825,6.601,26220198,15256003,1442,21
21,5.934,6.699,26220198,15256003,1442,21
22,7.287,6.116,26220198,15256003,1442,21
23,6.337,7.471,26220198,15256003,1442,21
24,6.431,6.800,26220198,15256003,1442,21
25,6.449,6.084,26220198,15256003,1442,21
26,6.778,7.235,26220198,15256003,1442,21
27,7.216,6.360,26220198,15256003,1442,21
28,6.401,6.490,26220198,15256003,1442,21
29,5.933,6.548,26220198,15256003,1442,21
30,6.662,6.506,26220198,15256003,1442,21
31,7.053,7.310,26220198,15256003,1442,21
32,7.560,6.426,26220198,15256003,1442,21
33,5.653,5.962,26220198,15256003,1442,21
34,6.849,6.646,26220198,15256003,1442,21
35,7.686,7.056,26220198,15256003,1442,21
36,5.758,7.787,26220198,15256003,1442,21
37,6.870,5.285,26220198,15256003,1442,21
38,6.701,7.096,26220198,15256003,1442,21
39,6.802,7.661,26220198,15256003,1442,21
40,6.697,5.549,26220198,15256003,1442,21
41,6.572,6.833,26220198,15256003,1442,21
42,6.487,6.755,26220198,15256003,1442,21
43,7.684,6.729,26220198,15256003,1442,21
44,6.570,6.953,26220198,15256003,1442,21
45,5.956,6.378,26220198,15256003,1442,21
46,6.252,6.444,26220198,15256003,1442,21
47,8.064,7.726,26220198,15256003,1442,21
48,5.997,6.648,26220198,15256003,1442,21
49,6.471,5.907,26220198,15256003,1442,21
50,6.432,6.370,26220198,15256003,1442,21
51,7.029,7.947,26220198,15256003,1442,21
52,6.434,5.976,26220198,15256003,1442,21
53,6.769,7.228,26220198,15256003,1442,21
54,5.792,5.998,26220198,15256003,1442,21
55,7.291,6.993,26220198,15256003,1442,21
56,6.904,6.268,26220198,15256003,1442,21
57,6.032,6.768,26220198,15256003,1442,21
58,6.266,5.917,26220198,15256003,1442,21
59,7.393,7.271,26220198,15256003,1442,21
60,6.196,7.137,26220198,15256003,1442,21
61,6.494,5.679,26220198,15256003,1442,21
62,7.048,6.273,26220198,15256003,1442,21
63,7.326,7.315,26220198,15256003,1442,21
64,6.370,6.131,26220198,15256003,1442,21
65,7.932,6.508,26220198,15256003,1442,21
66,5.235,7.160,26220198,15256003,1442,21
67,6.959,7.291,26220198,15256003,1442,21
68,6.609,6.304,26220198,15256003,1442,21
69,6.283,8.184,26220198,15256003,1442,21
70,6.950,5.362,26220198,15256003,1442,21
71,7.094,6.738,26220198,15256003,1442,21
72,5.612,6.623,26220198,15256003,1442,21
73,6.603,6.429,26220198,15256003,1442,21
74,6.954,7.168,26220198,15256003,1442,21
75,6.595,6.584,26220198,15256003,1442,21
76,5.965,5.854,26220198,15256003,1442,21
77,7.056,6.534,26220198,15256003,1442,21
78,6.194,6.903,26220198,15256003,1442,21
79,7.442,6.520,26220198,15256003,1442,21
