frame,repaint_interval_ms,cpu_frame_ms,triangles,vertices,draw_calls,set_pass_calls
0,5.146,6.577,26220198,15256003,1442,21
1,7.130,6.444,26220198,15256003,1442,21
2,7.093,6.660,26220198,15256003,1442,21
3,7.641,9.621,26220198,15256003,1442,21
4,6.689,6.012,26220198,15256003,1442,21
5,6.866,5.778,26220198,15256003,1442,21
6,6.541,7.087,26220198,15256003,1442,21
7,7.507,7.666,26220198,15256003,1442,21
8,7.265,6.711,26220198,15256003,1442,21
9,6.443,6.872,26220198,15256003,1442,21
10,6.591,6.475,26220198,15256003,1442,21
11,7.906,7.582,26220198,15256003,1442,21
12,6.662,7.245,26220198,15256003,1442,21
13,6.683,6.412,26220198,15256003,1442,21
14,7.709,6.589,26220198,15256003,1442,21
15,6.761,7.903,26220198,15256003,1442,21
16,7.062,6.661,26220198,15256003,1442,21
17,6.395,6.700,26220198,15256003,1442,21
18,6.460,7.819,26220198,15256003,1442,21
19,7.624,6.632,26220198,15256003,1442,21
20,6.701,7.079,26220198,15256003,1442,21
21,6.045,6.374,26220198,15256003,1442,21
22,6.490,6.490,26220198,15256003,1442,21
23,7.196,7.663,26220198,15256003,1442,21
24,6.367,6.781,26220198,15256003,1442,21
25,6.178,6.093,26220198,15256003,1442,21
26,8.179,6.368,26220198,15256003,1442,21
27,7.464,7.389,26220198,15256003,1442,21
28,4.795,6.265,26220198,15256003,1442,21
29,6.295,6.242,26220198,15256003,1442,21
30,7.007,8.093,26220198,15256003,1442,21
31,6.466,7.553,26220198,15256003,1442,21
32,6.384,4.967,26220198,15256003,1442,21
33,6.937,6.164,26220198,15256003,1442,21
34,6.001,6.814,26220198,15256003,1442,21
35,6.851,6.588,26220198,15256003,1442,21
36,7.528,6.387,26220198,15256003,1442,21
37,6.337,7.062,26220198,15256003,1442,21
38,7.150,6.041,26220198,15256003,1442,21
39,6.471,6.725,26220198,15256003,1442,21
40,6.489,7.603,26220198,15256003,1442,21
41,6.393,6.525,26220198,15256003,1442,21
42,7.019,6.884,26220198,15256003,1442,21
43,6.470,6.344,26220198,15256003,1442,21
44,7.155,6.431,26220198,15256003,1442,21
45,6.793,6.396,26220198,15256003,1442,21
46,6.073,7.005,26220198,15256003,1442,21
47,6.893,6.517,26220198,15256003,1442,21
48,7.588,7.136,26220198,15256003,1442,21
49,5.856,6.775,26220198,15256003,1442,21
50,7.421,6.183,26220198,15256003,1442,21
51,6.628,6.798,26220198,15256003,1442,21
52,6.247,7.552,26220198,15256003,1442,21
53,6.644,5.980,26220198,15256003,1442,21
54,6.270,7.292,26220198,15256003,1442,21
55,7.025,7.014,26220198,15256003,1442,21
56,6.674,5.923,26220198,15256003,1442,21
57,5.826,6.672,26220198,15256003,1442,21
58,6.554,6.323,26220198,15256003,1442,21
59,7.371,6.951,26220198,15256003,1442,21
60,6.232,6.610,26220198,15256003,1442,21
61,6.660,5.841,26220198,15256003,1442,21
62,7.113,6.665,26220198,15256003,1442,21
63,7.200,7.241,26220198,15256003,1442,21
64,6.745,6.357,26220198,15256003,1442,21
65,6.717,6.543,26220198,15256003,1442,21
66,6.748,7.220,26220198,15256003,1442,21
67,6.894,7.222,26220198,15256003,1442,21
68,6.867,6.745,26220198,15256003,1442,21
69,5.960,6.767,26220198,15256003,1442,21
70,7.022,6.659,26220198,15256003,1442,21
71,6.424,6.787,26220198,15256003,1442,21
72,7.456,6.872,26220198,15256003,1442,21
73,6.964,5.895,26220198,15256003,1442,21
74,6.500,7.086,26220198,15256003,1442,21
75,7.284,6.400,26220198,15256003,1442,21
76,6.536,7.525,26220198,15256003,1442,21
77,6.595,6.945,26220198,15256003,1442,21
78,6.557,6.557,26220198,15256003,1442,21
79,7.066,7.262,26220198,15256003,1442,21
